cnum,instructor,cname,hours,rating
3363,"BRASIER, DANIEL",SYSTEMS NEUROSCIENCE,7.41,4.72
3363,"BRUDER, JENNIFER LYNN",SYSTEMS NEUROSCIENCE,5.6,4.6
3363,"COUEY, JONATHAN",SYSTEMS NEUROSCIENCE,7.08,3.04
3363,"YTTRI, ERIC",SYSTEMS NEUROSCIENCE,6.826666666666667,3.8699999999999997
3365,"KUHLMAN, SANDRA",NEURAL CORR. LRN MEM,6.0649999999999995,4.43
3366,"BRASIER, DANIEL",BIOCHEM OF THE BRAIN,7.31,4.85
3366,"HONG, KATE",NEUROPHARMACOLOGY,6.35,4.65
3366,"WEGENER, MEREDYTH",BIOCHEM OF THE BRAIN,7.955,3.865
3380,"YOUNIS, IHAB",VIROLOGY,8.65,4.683333333333334
3390,"BOTTINO, RITA",MOLECULAR CELL IMMUN,7.35,4.048
3390,"FAN, YONG",MOLECULAR CELL IMMUN,6.814,3.932
3390,"GIANNOUKAKIS, NICK",MOLECULAR CELL IMMUN,7.312,3.81
3390,"RULE, GORDON",MOLECULAR CELL IMMUN,9.205,4.9399999999999995
3390,"TRUCCO, MASSIMO",MOLECULAR CELL IMMUN,7.35,3.8899999999999997
3391,"ABDUL SALIK, FATEMA",MICROBIOLOGY,5.0,4.33
3391,"HILLER, NATALIA",MICROBIOLOGY,6.234,4.688000000000001
3401,"CAMPANARO, BECKI",UNDGRAD COLLQM SENRS,2.0,4.75
3401,"LANNI, FREDERICK",UNDGRAD COLLQM SENRS,2.0,5.0
3401,"Willard, Amanda",UNDGRAD COLLQM SENRS,2.0,4.33
3409,"BOUAOUINA, MOHAMED",APPLIED CELL BIO,3.5,5.0
3409,"BOUAOUINA, MOHAMED",SP TPC: ADV PHG GNMC,5.0,4.0
3409,"BOUAOUINA, MOHAMED",SPECIAL TOPICS,5.75,4.5
3410,"DOONAN, CARRIE",EXP GENETICS ACT,6.5,4.5
3410,"DOONAN, CARRIE",EXP GENETICS TECH,9.5,4.5
3410,"DOONAN, CARRIE",SP TPCS IN BIOLOGY,8.0,5.0
3410,"DRILL, EMILY",EXP GENETICS ACT,6.5,4.5
3410,"DRILL, EMILY",EXP GENETICS TECH,8.0,5.0
3410,"DRILL, EMILY",SP TPCS IN BIOLOGY,8.0,5.0
3410,"MCGUIER, NATALIE",EXP GENETICS ACT,6.5,5.0
3410,"MCGUIER, NATALIE",EXP GENETICS TECH,8.75,4.75
3410,"MCGUIER, NATALIE",SP TPCS IN BIOLOGY,9.5,5.0
3410,"RULE, GORDON",FRONTIERS OF BIOTECH,11.0,4.67
3410,"RULE, GORDON",SP TPCS IN BIOLOGY,5.6,5.0
3428,"MITCHELL, AARON",GENOME EDIT BIOTECH,5.0,4.4
3435,"AFFARA, NESRINE",CANCER BIOLOGY,12.5,5.0
3435,"BOUAOUINA, MOHAMED",CANCER BIOLOGY,9.805,4.015000000000001
3435,"DANTONIO, JASON",CANCER BIOLOGY,7.38,4.583333333333333
3435,"YOUNIS, IHAB",CANCER BIOLOGY,10.485,4.605
3435,"ZHAO, YONGXIN",CANCER BIOLOGY,4.7,4.0
3439,"ENDESFELDER, ULRIKE",INTRO TO BIOPHYSICS,8.0,5.0
3439,"LOESCHE, P.",INTRO TO BIOPHYSICS,9.5,3.0
3442,"WOOLFORD, JOHN",MOLECULAR BIOLOGY,6.046,4.694
3442,"YOUNIS, IHAB",MOLECULAR BIOLOGY,10.932500000000001,4.3825
3445,"AFFARA, NESRINE",UNDERGRAD RESEARCH,7.0,5.0
3445,"RULE, GORDON",UNDERGRAD RESEARCH,8.0,4.0
3445,"VINCENT, ANNETTE",UNDERGRAD RESEARCH,8.0,5.0
3451,"ETTENSOHN, CHARLES",ADV DEV BIO HUM HLTH,7.57,4.504
3451,"MCCARTNEY, BROOKE",ADV DEV BIO HUM HLTH,8.083333333333334,4.193333333333333
3511,"DURAND, M",GENOMICS & MOLEC BIO,6.0,5.0
3511,"STOLZER, MAUREEN",GENOMICS & MOLEC BIO,8.0,3.0
3534,"LANNI, FREDERICK",BIO IMG & FLR SPECTR,7.7,4.47
3604,"BRASIER, DANIEL",PROFESSIONAL SKILLS,2.38,5.0
3621,"KUANG, ZHENG",ADV. QUANT. GENETICS,11.37,4.22
3621,"LOPEZ, ANTONIO-JAVIER",ADV. QUANT. GENETICS,8.67,4.33
3621,"WONG-NOONAN, STEPHANIE",ADV. QUANT. GENETICS,11.65,4.5
3642,"WOOLFORD, JOHN",GRAD MOL BIOLOGY,8.0,5.0
3701,"KUHLMAN, SANDRA",STAT CMPTNG BSC,3.125,2.5
3701,"MCMANUS, CHARLES",PRACT CMPTNG BSC,7.73,3.91
3701,"SCHWARTZ, RUSSELL",STAT CMPTNG BSC,6.0,3.33
3702,"KUHLMAN, SANDRA",DATA ANALYSIS BSC,5.75,2.875
3702,"SCHWARTZ, RUSSELL",DATA ANALYSIS BSC,7.4,3.0
3708,"MCMANUS, CHARLES",PRACTICL COMPUTING,8.42,3.79
3709,"BRASIER, DANIEL",APP CELL MOLC BIOLGY,10.001428571428573,4.625714285714286
3709,"LOPEZ, ANTONIO-JAVIER",APP CELL MOLC BIOLGY,8.72,4.12
3709,"WONG-NOONAN, STEPHANIE",APP CELL MOLC BIOLGY,9.915,4.702500000000001
3711,"DURAND, M",GENOMICS & MOLEC BIO,8.4275,4.5125
3711,"STOLZER, MAUREEN",GENOMICS & MOLEC BIO,9.93,4.57
3712,"SCHWARTZ, RUSSELL",CPTL MTH BIO MDL SIM,14.045000000000002,4.3149999999999995
3713,"MCMANUS, CHARLES",BIOINFMTCS DATA PRAC,7.853333333333334,4.071666666666666
3726,"HINMAN, VERONICA",EVLN REGULY GENOMICS,6.1,4.2
3727,"DURAND, M",EVOL BIOINFORMATICS,6.5,4.33
3727,"DURAND, M",PHYLOGENETICS,7.0,4.0
3728,"MITCHELL, AARON",GENOME EDIT BIOTECH,6.136666666666667,4.73
3728,"WONG-NOONAN, STEPHANIE",GENOME EDIT BIOTECH,5.43,3.57
